"","model","inference","replicate","height","ntaxa","r_mse","N_mse","N_true_sum","true positive","true negative","false negative","false positive","false positive rate","true positive rate","false negative rate","true negative rate","prop_error_geomean_lambda","prop_error_mean_lambda","prop_error_geomean_mu","prop_error_mean_mu","arithmetic_error_netdiv","criterion"
"48",1,"true_all",16,25,5,8.37926681653416e-05,9.16293011911006e-05,0,0,8,0,0,0,NA,NA,1,1.2288434445985,1.22884382064445,1.2288434445985,1.22884382064445,0.00915375282577791,"N_half_and_bayes_factor"
"49",1,"true_all",17,25,16,6.94653909058113e-05,4.36455236448895e-05,0,0,30,0,0,0,NA,NA,1,1.2083590699493,1.20835990607729,1.2083590699493,1.20835990607729,0.00833439624309166,"N_over_half"
"50",1,"true_all",17,25,16,6.94653909058113e-05,4.36455236448895e-05,0,0,30,0,0,0,NA,NA,1,1.2083590699493,1.20835990607729,1.2083590699493,1.20835990607729,0.00833439624309166,"bayes_factor_10"
"51",1,"true_all",17,25,16,6.94653909058113e-05,4.36455236448895e-05,0,0,30,0,0,0,NA,NA,1,1.2083590699493,1.20835990607729,1.2083590699493,1.20835990607729,0.00833439624309166,"N_half_and_bayes_factor"
"52",1,"true_all",18,25,3,5.76545756035915e-05,0.000184879742898219,0,0,4,0,0,0,NA,NA,1,1.18982540391269,1.189825558242,1.18982540391269,1.189825558242,0.00759302232968011,"N_over_half"
"53",1,"true_all",18,25,3,5.76545756035915e-05,0.000184879742898219,0,0,4,0,0,0,NA,NA,1,1.18982540391269,1.189825558242,1.18982540391269,1.189825558242,0.00759302232968011,"bayes_factor_10"
"54",1,"true_all",18,25,3,5.76545756035915e-05,0.000184879742898219,0,0,4,0,0,0,NA,NA,1,1.18982540391269,1.189825558242,1.18982540391269,1.189825558242,0.00759302232968011,"N_half_and_bayes_factor"
"55",1,"true_all",19,25,8,6.1692304200304e-05,4.18732038052964e-05,0,0,14,0,0,0,NA,NA,1,1.19636073946091,1.19636079335285,1.19636073946091,1.19636079335285,0.00785443173411387,"N_over_half"
"56",1,"true_all",19,25,8,6.1692304200304e-05,4.18732038052964e-05,0,0,14,0,0,0,NA,NA,1,1.19636073946091,1.19636079335285,1.19636073946091,1.19636079335285,0.00785443173411387,"bayes_factor_10"
"57",1,"true_all",19,25,8,6.1692304200304e-05,4.18732038052964e-05,0,0,14,0,0,0,NA,NA,1,1.19636073946091,1.19636079335285,1.19636073946091,1.19636079335285,0.00785443173411387,"N_half_and_bayes_factor"
